Gl 338B,42.0,4.0
Gl 846,22.0,0.0
Gl 410,14.0,0.0
Gl 205,35.0,0.0
Gl 514,30.0,0.0
Gl 880,37.0,0.0
Gl 382,22.0,0.0
Gl 412A,37.0,2.0
Gl 15A,43.0,0.0
Gl 411,427.0,34.0
Gl 752A,45.0,4.0
Gl 48,52.0,2.0
Gl 617B,43.0,3.0
Gl 436,48.0,13.0
Gl 480,25.0,0.0
Gl 849,42.0,1.0
Gl 408,172.0,7.0
Gl 687,57.0,1.0
Gl 725A,102.0,4.0
Gl 317,39.0,4.0
Gl 251,93.0,7.0
Gl 4063,41.0,4.0
Gl 4333,71.0,2.0
Gl 725B,135.0,15.0
Gl 876,84.0,3.0
Gl 3378,95.0,2.0
Gl 169.1A,92.0,4.0
Gl 15B,113.0,4.0
Gl 699,136.0,13.0
Gl 1289,74.0,1.0
Gl 447,24.0,4.0
Gl 1151,176.0,5.0
Gl 1103,143.0,10.0
Gl 905,114.0,3.0
Gl 1286,178.0,15.0
Gl 1002,90.0,3.0
